Name                                     Lines  Precise  Imprecise  Any  Empty  Unanalyzed
------------------------------------------------------------------------------------------
panda.python                              1013      212          5  488    303           5
panda.python.base                           67       29          0    1     37           0
panda.python.ccp                           362      244          6   45     67           0
panda.python.constants                      57       44          0    2     11           0
panda.python.dfu                           120       55          3   28     34           0
panda.python.isotp                         143       14          0   86     43           0
panda.python.serial                         35        2          0   24      8           1
panda.python.spi                           377      143          1  115    118           0
panda.python.uds                           938      645          0  103    190           0
panda.python.usb                            95       24          0   43     28           0
panda.python.utils                          12        1          0   10      1           0
panda.tests                                  0        0          0    0      0           0
panda.tests.benchmark                       43       17          0   12     14           0
panda.tests.black_loopback_test            122       14          1   65     42           0
panda.tests.black_white_loopback_test      163       17          1   86     59           0
panda.tests.black_white_relay_endurance    170       21          1   88     60           0
panda.tests.black_white_relay_test         141       17          1   70     53           0
panda.tests.bulk_write_test                 49       16          0    7     14          12
panda.tests.can_printer                     39       12          0   18      9           0
panda.tests.ci_reset_hw                     40       12          2   13     13           0
panda.tests.ci_reset_internal_hw            47       15          0   17     15           0
panda.tests.debug_console                   63       41          1    8     13           0
panda.tests.echo                            20        7          0    7      6           0
panda.tests.elm_car_simulator              329       39          9  205     76           0
panda.tests.elm_throughput                  44       10          1   23     10           0
panda.tests.get_version                      7        2          0    3      2           0
panda.tests.gmlan_harness_test              81       22          4   32     23           0
panda.tests.gps_stability_test             165       41          0   83     41           0
panda.tests.health_test                     18       12          0    2      4           0
panda.tests.ir_test                         17       13          0    1      3           0
panda.tests.location_listener               45       17          0   16     12           0
panda.tests.loopback_test                  120       14          0   65     41           0
panda.tests.message_drop_test               70       21          8   23     18           0
panda.tests.read_winusb_descriptors         34       19          0    1      8           6
panda.tests.relay_test                      16        8          0    4      4           0
panda.tests.rtc_test                        13        7          0    2      4           0
panda.tests.spam_can                        22       11          0    5      6           0
panda.tests.standalone_test                 35       16          0   11      8           0
panda.tests.tucan_loopback                 118       14          0   61     42           1
